Date,Time,TrafficVolume
10/28/2019,1,64
10/28/2019,2,31
10/28/2019,3,33
10/28/2019,4,31
10/28/2019,5,141
10/28/2019,6,234
10/28/2019,7,506
10/28/2019,8,596
10/28/2019,9,520
10/28/2019,10,592
10/28/2019,11,600
10/28/2019,12,731
10/28/2019,13,783
10/28/2019,14,745
10/28/2019,15,735
10/28/2019,16,701
10/28/2019,17,689
10/28/2019,18,716
10/28/2019,19,536
10/28/2019,20,557
10/28/2019,21,435
10/28/2019,22,363
10/28/2019,23,214
10/29/2019,0,117
10/29/2019,1,48
10/29/2019,2,35
10/29/2019,3,25
10/29/2019,4,50
10/29/2019,5,149
10/29/2019,6,215
10/29/2019,7,513
10/29/2019,8,623
10/29/2019,9,526
10/29/2019,10,674
10/29/2019,11,789
10/29/2019,12,729
10/29/2019,13,705
10/29/2019,14,764
10/29/2019,15,717
10/29/2019,16,754
10/29/2019,17,698
10/29/2019,18,736
10/29/2019,19,590
10/29/2019,20,595
10/29/2019,21,537
10/29/2019,22,405
10/29/2019,23,234
10/30/2019,0,158
10/30/2019,1,55
10/30/2019,2,41
10/30/2019,3,24
10/30/2019,4,56
10/30/2019,5,119
10/30/2019,6,227
10/30/2019,7,457
10/30/2019,8,665
10/30/2019,9,617
10/30/2019,10,658
10/30/2019,11,682
10/30/2019,12,725
10/30/2019,13,717
10/30/2019,14,734
10/30/2019,15,714
10/30/2019,16,702
10/30/2019,17,668
10/30/2019,18,779
10/30/2019,19,672
10/30/2019,20,653
10/30/2019,21,544
10/30/2019,22,467
10/30/2019,23,318
10/31/2019,0,167
10/31/2019,1,53
10/31/2019,2,42
10/31/2019,3,29
10/31/2019,4,58
10/31/2019,5,155
10/31/2019,6,220
10/31/2019,7,509
10/31/2019,8,575
10/31/2019,9,559
10/31/2019,10,559
10/31/2019,11,694
10/31/2019,12,741
10/31/2019,13,724
10/31/2019,14,668
10/31/2019,15,705
10/31/2019,16,682
10/31/2019,17,510
10/31/2019,18,707
10/31/2019,19,672
10/31/2019,20,655
10/31/2019,21,604
10/31/2019,22,499
10/31/2019,23,353
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
